latency_ms,energy_mJ,network_kb
460.91699854050694,16.820371937414638,9048.380704760819
460.91699854050694,16.820371937414638,9048.380704760819
460.91699854050694,16.820371937414638,9048.380704760819
460.91699854050694,16.820371937414638,9048.380704760819
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
534.3605798221585,18.319398875127433,5898.5640864952475
538.386202195259,17.156433469372505,7185.1547751470425
538.386202195259,17.156433469372505,7185.1547751470425
538.386202195259,17.156433469372505,7185.1547751470425
538.386202195259,17.156433469372505,7185.1547751470425
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
727.2809991036647,20.917300626517957,3459.86576006795
731.3066214767653,19.754335220763025,4746.456448719745
731.3066214767653,19.754335220763025,4746.456448719745
731.3066214767653,19.754335220763025,4746.456448719745
731.3066214767653,19.754335220763025,4746.456448719745
800.7245803853161,22.416327564230752,310.0491418023784
800.7245803853161,22.416327564230752,310.0491418023784
800.7245803853161,22.416327564230752,310.0491418023784
800.7245803853161,22.416327564230752,310.0491418023784
800.7245803853161,22.416327564230752,310.0491418023784
800.7245803853161,22.416327564230752,310.0491418023784
800.7245803853161,22.416327564230752,310.0491418023784
800.7245803853161,22.416327564230752,310.0491418023784
800.7245803853161,22.416327564230752,310.0491418023784
