,latency,energy,network,mapping
Weighted Sum Method,460.91699854050694,16.820371937414638,9048.380704760819,"(0, 2, 0)"
NSGA-II (Proposed),352.9000601363979,12.035102833640579,5807.091770888704,"[7, 6, 0]"
PSO,538.386202195259,17.156433469372505,7185.1547751470425,"[4, 0, 0]"
Genetic Algorithm (GA),460.91699854050694,16.820371937414638,9048.380704760819,"[0, 2, 0]"
Grey Wolf Optimizer (GWO),460.91699854050694,16.820371937414638,9048.380704760819,"[0, 2, 0]"
Ant Colony Optimization (ACO),727.2809991036647,20.917300626517957,3459.86576006795,"[0, 3, 5]"
Round Robin,731.3066214767653,19.754335220763025,4746.456448719745,"(0, 0, 2)"
Random,800.7245803853161,22.416327564230752,310.0491418023784,"(4, 4, 2)"
